timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], temperature.gpu, fan.speed [%]
2026/05/30 02:52:31.753, 100 %, 54 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:32.754, 100 %, 91 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:33.755, 100 %, 83 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:34.756, 100 %, 52 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:35.758, 100 %, 95 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:36.760, 100 %, 75 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:52:37.762, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:38.764, 100 %, 66 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:52:39.766, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:40.767, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:41.769, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:42.770, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:43.772, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:44.773, 100 %, 62 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:45.775, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:52:46.778, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:47.780, 100 %, 48 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:48.781, 100 %, 61 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:49.782, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:50.784, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:51.786, 100 %, 63 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:52.788, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:53.790, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:54.791, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:55.795, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:52:56.797, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:52:57.799, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:58.801, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:52:59.802, 100 %, 82 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:53:00.804, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:53:01.805, 100 %, 62 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:53:02.807, 100 %, 73 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:53:03.809, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:53:04.811, 100 %, 74 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:53:05.813, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:53:06.814, 100 %, 47 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:53:07.815, 100 %, 47 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:53:08.817, 100 %, 47 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:53:09.818, 100 %, 52 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:53:10.819, 100 %, 51 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:53:11.820, 100 %, 73 %, 21817 MiB, 2265 MiB, 82, 100 %
2026/05/30 02:53:12.821, 100 %, 47 %, 21817 MiB, 2265 MiB, 82, 100 %
2026/05/30 02:53:13.823, 100 %, 46 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:53:14.824, 100 %, 47 %, 21817 MiB, 2265 MiB, 82, 100 %
2026/05/30 02:53:15.825, 100 %, 46 %, 21817 MiB, 2265 MiB, 82, 100 %
2026/05/30 02:53:16.826, 100 %, 55 %, 21817 MiB, 2265 MiB, 82, 100 %
